items,days,name
"Chicken Gyro,Lamb Gyro,Chiken Gyro Plate,Lamb Gyro Plate,Combination Gyro Plate","Mo,Tu,We",Taza Halal Cart
"Cold Truck,Sandwiches,fruit,snacks,candy,hot and cold drinks","Mo,Tu,We,Th,Fr",May Catering
"Hot dogs,condiments,soft pretzels,soft drinks,coffee,cold beverages,pastries,bakery goods,cookies,ice cream,candy,soups,churros,chestnuts,nuts,fresh fruit,fruit juices,desserts,potato chips and popcorn","Mo,Tu,We,Th,Fr,Sa,Su","Bay Area Dots, LLC"
"Senor Sisig,Filipino fusion food,tacos,burritos,nachos,rice plates. Various beverages.Chairman Bao,Vegetable and meat sandwiches filled with Asian-flavored meats and vegetables","Mo,We,Fr",Senor Sisig
"Cold Truck,Soda,Chips,Candy,Cold/Hot Sandwiches,Donuts.  (Pitco Wholesale)","Mo,Tu,We,Th,Fr",John's Catering #5
"Cold Truck,Soft drinks,cup cakes,potato chips,cookies,gum,sandwiches (hot & cold),peanuts,muffins,coff (hot & cold),water,juice,yoplait,milk,orange juice,sunflower seeds,can foods,burritos,buscuits,chimichangas,rice krispies","Mo,Tu,We,Th,Fr",Quan Catering
"Cold Truck,Breakfast,Sandwiches,Salads,Pre-Packaged Snacks,Beverages","Mo,Tu,We,Th,Fr",BH & MT LLC
"Cold Truck,Hot/Cold Sandwiches,Water,Soda,Juice,Snacks,Milk,Candies,Canned Food,Soups,Cup of Noodles,Fruit,Salad","Mo,Tu,We,Fr",F & C Catering
"Cold Truck,Pre-packaged sandwiches,snacks,fruit,various beverages","Mo,Tu,We,Th,Fr",Liang Bai Ping
"Cold Truck,Pre-packaged sandwiches,Chicken Bake,Canned Soup,Chili Dog,Corn Dog,Cup of Noodles,Egg Muffins,Hamburgers,Cheeseburgers,Hot Dog,Hot sandwiches,quesadillas,Beverages,Flan,Fruits,Yogurt,Candy,Cookies,Chips,Donuts,Snacks","Mo,Tu,We,Th,Fr",D & T Catering
Hot Indian Chai,"Mo,Tu,We,Th,Fr",The Chai Cart
"Chicken Tiki Masala Burritos,Paneer Tiki Masala Burritos,Samosas,Mango Lassi","Mo,Tu,We,Th,Fr",Curry Up Now
"Cold Truck,Hamburger,cheeseburgers,hot dogs,hot sandwiches,cold sandwiches,egg muffins,cup of noodles,corn dogs,canned soup,coffee,hot cocoa,hot tea,gatorade,juice,milk,soda,water,fruits,fruit salad,rice pudding,yogurt,candy bars,chips,cookies,donuts,granola bars,muffins","Mo,Tu,We,Th,Fr",Park's Catering
"Cold Truck,Sandwiches,snacks,prepackaged items,beverages,","Mo,Tu,We,Th,Fr",Paradise Catering
"Cold Truck,Hot & Cold Sandwiches,Bagels,Burritos,Soups,Hot Dogs,Tacos,Pork Buns,BBQ Meat,Fruit,Various Beverages,Pasties,Pre-Packaged Snacks,Candy,Salads,Muffins,Scones,Brownies,Croissants,Energy Bars,Noodle Bowls","Mo,Tu,We,Th,Fr,Sa,Su",Two G's Catering
"Soft Pretzels,hot dogs,sausage,chips,popcorn,soda,espresso,cappucino,pastries,ice cream,italian sausages,shish-ka-bob,churros,juice,water,various drinks","Mo,Tu,We,Th,Fr,Sa,Su","The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs"
"Kettle Corn,Pizza,Coffee,Lattes,Cappuchino,Expresso,Hot Tea","Mo,Tu,We,Th,Fr",Creme Brulee To Go
"Cold Truck,Corn Dogs,Noodle Soups,Candy,Pre-packaged Snacks,Sandwiches,Chips,Coffee,Tea,Various Beverages","Mo,Tu,We,Th,Fr",Mini Mobile Food Catering
"Cold Truck,Sandwiches,Noodles,Pre-packaged Snacks,Candy,Desserts Various Beverages","Mo,Tu,We,Th,Fr",Anas Goodies Catering
Hot dogs and chili,"Su,We",Let's Be Frank
"Cold Truck,Pre-packaged Sandwiches,Various Beverages,Salads,Snacks","Mo,Tu,We,Th,Fr",Golden Catering
"Italian subs,Cuban sandwich,Gyro","Sa,Su",Subs on Hubs
7 Multiple Trucks on rotation (1 on Mission Bay Blvd South & 6 on 4th St).   Serving everything but hot dogs,"Mo,Tu,We,Th,Fr",SF Cart Project
"Hot coffee,iced coffee,hot chocolate,tea,pastries","Mo,We,Fr",Philz Coffee Truck
"Cold Truck,packaged sandwiches,pitas,breakfast,cold and hot drinks,snacks","Mo,Tu,We,Th,Fr",Munch A Bunch
everything except for hot dogs,Fr,"Off the Grid Services, LLC"
"Halal Gyro over Rice,Halal Chicken over Rice,Halal Gyro,and Chicken Sandwich","Mo,We",Halal Cart of San Francisco
"Cold Truck,packaged sandwiches,snacks,candy,hot and cold drinks","Mo,Tu,We,Th,Fr",Mike's Catering
"Cold Truck,Pre-packaged sandwiches,Burgers,Hot Dogs,Muffin Sandwiches,Enchiladas,Bagels,Burritos,Salads,Snacks,Beverages","Mo,Tu,We,Th,Fr",Steve's Mobile Deli
"Hot dogs,condiments,soft pretzels,soft drinks,coffee,cold beverages,pastries,bakery goods,cookies,ice cream,candy,soups,churros,chestnuts,nuts,fresh fruit,fruit juices,desserts,potato chips and popcorn","Mo,Tu,We,Th,Fr,Sa,Su","San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs"
"Hot Dogs,Hamburgers,Nachos,Steaks,Pastas,Asian Dishes,Tri-Tip Sandwiches,Sodas & Water","Mo,Tu,We,Th,Fr",Linda's Catering
"Cold Truck,Burrito,Corn Dog,Salads,Sandwiches,Quesadilla,Tacos,Fried Rice,Cow Mein,Chinese Rice,Noodle Plates,Soup,Bacon,Eggs,Ham,Avacado,Sausages,Beverages",Su,Eva's Catering
"Hotdogs,chips,soda,nuts,crackers","Su,Fr,Sa",The Huge Hotdog Concession
"Cold truck,sandwiches,salads,beverages,chips,candy,cookies,coffee,tea,drinks",Sa,DO UC US Mobile Catering
"Jerk chicken,curry chicken,curry goat,curry dhal,Burritos,Fish,Ox tails,rice,beans,veggies",We,Scotch Bonnet
"Tacos,burritos,soda & juice","Sa,Su","Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's"
"kebabs,halal gyro,grilled halal meat,refreshments","Tu,Th,Fr","Halal Cart, LLC"
"Burritos,Giros,Tortas,Quesadillas,Tacos & Various Beverages","Mo,Tu,We,Th,Fr",El Gallo Jiro
"Tacos,burritos,quesadillas,tortas,nachos (refried beans,cheese sauce,salsa fresca),carnes (beef,chicken,marinated pork,fried pork),canned beans,rice,sodas,horchata drinks","Mo,Tu,We,Th,Fr,Sa,Su",La Jefa
"Vietnamese Sandwiches,Spring Rolls,Bottled Water & Can Soda,pho,vermincelli,noodles,rice,cookies,","Tu,We,Th","Viet Duong Co., Ltd."
"Tacos,burritos,quesadillas,soda & water","Mo,Tu,We,Th,Fr",Tacos Rodriguez
"Rotisserie Chicken,Ribs,Kickass Salad,Potatos w/fat dripping,chicken wrap","Mo,We,Fr",Roadside Rotisserie Corporation / Country Grill
"Katsu Curry,KUROBUTA Sausage Curry,Vegetable Curry,Veggie Croquette Curry,Chicken NANBAN Bento,Nori Bento,water,soda,green tea","Tu,We,Th",JapaCurry
"Tacos,Burritos,Quesadillas,Tortas,Nachos,Hot Dogs,Soda,Water,Fruit Drinks","Sa,Su",San Pancho's Tacos
Peruvian Food,"Mo,Tu,We,Th,Fr",Sanguchon
"Tacos,Burritos,Tortas,Quesadillas,Mexican Drinks,Aguas Frescas","Sa,Su","Santana ESG, Inc."
"Tacos,Burritos,Tostadas,Flautas,Tostadas,Tortas,Pozole Menudo","Mo,Tu,We,Th,Fr",Giant Burrito
"Kettle Corn,Funnel Cakes,Lemonade,Beverages,Flan,Hot Dogs,Falafel,Hot and Cold Sandwiches,French Fries,Baklava and Pastries","Mo,Tu,We,Th,Fr,Sa,Su",Kettle Corn Star
"Sliders,Tater Tots,Beverages","Tu,We","Slider Shack, LLC."
Korean Fried Chicken,"We,Th",Hiyaaa
"Hot dogs,pretzels,chips,juices and cold drinks","Mo,We,Fr",Yummy Hot Dogs
"Artisan Pizzas (Margherita,Yukon Potato,Zoe's Pepperoni,Funghi,Brocolli Rabe,Bacon Kale,Arugula) and Drinks","Tu,Th","Casey's Pizza, LLC"
Multiple Trucks - Everything,"We,Th,Fr",Tres Agaves Mexican Kitchen & Tequila Lounge LLC. dba Tres Truck
"Lomo Saltado,Jalea,Ceviche,Calamar,Tilapia plate,chicken special. Soda,Water","Tu,We,Th",El Calamar Perubian Food Truck
"Tacos,Burritos,Quesadillas,Various Drinks","Tu,We,Th",CARDONA'S FOOD TRUCK
"Tacos,Burritos,Tortas,Quesadillas,Chips & Salsa & Various Beverages","Mo,Tu,We,Th,Fr",Tacos El Flaco
"Lobster rolls,crab rolls,clam chowder,lobster bisque,chips,lemonade,drinks","Mo,We,Fr",Lobsta Truck
"Vietnamese sandwiches,various meat rice plates & bowls,vermicelli,spring rolls,sticky rice,Vietnamese Goi,pho,noodles,coffee,various flavored tea,various soda and juices,water","Mo,Tu,We,Th,Fr",Faith Sandwich
"Tacos,burritos,quesadillas","Tu,Th,Sa",Plaza Garibaldy
"Tacos,Burritos,Tortas,Quesadillas,Salads,Soup,Fruits,Juices,Soda,Water","Mo,Tu,We,Th,Fr",Tacos El Ojo De Agua
"Hot dogs and related toppings,non alcoholic beverages","Mo,Tu,We,Th,Fr,Sa,Su",Leo's Hot Dogs
"Mexican food,tacos,burritos,tortas,various meat and chicken and fish plate,chile relleno plate,fish plate,bread,flan,rice pudding,bread,fruit juice,vegetable juice,coffee,tea","Mo,Tu,We,Th,Fr",Tacos El Primo
"Tacos,Burritos,Tortas,Quesadillas,Drinks","Mo,Tu,We,Th,Fr,Sa,Su",El Tonayense #60
"Tacos,Burritos,Tortas,Quesadillas","Mo,Tu,We,Th,Fr,Sa,Su",El Tonayanse #4 / #36
Halal Gyro and Cheesesteaks,"Mo,Tu,Fr","Kabob Trolley, LLC"
"Indian Street Food,Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades","Tu,Th,Fr",Akuranvyka USA Inc
Filipino Food,"Mo,We,Fr",Rita's Catering
"sunflower seeds,crackerjacks,bottled water,peanuts,candy","Mo,Tu,We,Th,Fr,Sa,Su",Got Snacks
"Expresso drinks,assorted beverages (canned,bottled,home made),scones,croissants,bagels,soup,chili,parfaits,smoothies,frappes,milk shakes","Mo,Tu,We,Th,Fr","Expresso Subito, LLC."
"Daily rotating menus consisting of various local & organic vegetable,poultry,meat,seafood,rice & bread dishes","Mo,Fr",Munch India
Tacos burritos quesadillas tortas pupusas flautas tamales,"Mo,Tu,We",Buenafe
"Vietnamese sandwiches,spring rolls,bottle water,can soda,chicken and shrimp rice noodles,rice with chicken,chicken salad,noodle soup","Mo,Tu,We,Th,Fr","The Sandwich Stand, LLC."
"Burritos,Tacos,Tortas,Quesadillas & Various Drinks","Th,Fr,Sa",Alfaro Truck
